Address,LU post groups,LU prior groups,Prior Year,TOTAL VALUE post,TOTAL VALUE prior,YR BUILT prior (bin) 2,ZIPCODE post (group),Latitude,Longitude
25 PETER PARLEY RD,R1,R1,2016,744200.0,735400.0,1890.0,02130,42.3107544,-71.101379
22 LEXINGTON ST,R1,R1,2022,611900.0,1088100.0,1910.0,02129,42.3775673,-71.0593707
21 MASCOMA ST,R1,R1,2022,432300.0,411700.0,2000.0,02121,42.3117945,-71.0756409
19 SPRING PARK AV,R1,R1,2022,1017200.0,884200.0,1920.0,02130,42.31713389999999,-71.1116509
19 MARIPOSA ST,R1,R1,2022,305700.0,285700.0,1920.0,02136,42.2686661,-71.10616449999999
19 Maple Ave,R1,R1,2019,,,1900.0,02139,42.3725314,-71.10499999999999
19 GREENVILLE ST,R1,R1,2022,263600.0,251000.0,1900.0,02119,42.3273074,-71.0808132
19 FOREST ST,R1,R1,2022,344100.0,327700.0,1970.0,02119,42.32705199999999,-71.0784804
19 CLIFTON ST,R1,R1,2022,358900.0,348400.0,1900.0,02119,42.32332479999999,-71.07097089999999
18 ST MARTIN ST,R1,R1,2022,1134500.0,819300.0,1990.0,02129,42.38257249999999,-71.0683085
17 FOREST ST,R1,R1,2022,263600.0,251000.0,1970.0,02119,42.3272257,-71.0786186
16 WILLIAMS AV,R1,R1,2022,503000.0,439000.0,1910.0,02136,42.2510675,-71.1187408
16 ROCKVILLE PK,R1,R1,2022,394000.0,432300.0,1840.0,02119,42.3252239,-71.081881
14 MT VERNON ST,R1,R1,2022,2494600.0,2267800.0,1830.0,02129,42.3756273,-71.05881660000001
14 FARADAY ST,R1,R1,2022,443100.0,443400.0,1960.0,02136,42.2458672,-71.1253172
14 CRESTWAY RD,R1,R1,2022,684700.0,664700.0,1900.0,02128,42.3924855,-71.00568799999999
11 TAYLOR ST,R1,R1,2022,1839800.0,1728200.0,1850.0,02118,42.3438355,-71.06864960000001
11 EASTON AV,R1,R1,2022,390300.0,361200.0,1920.0,02136,42.2511299,-71.1230065
11 CENTRE LA,R1,R1,2022,585300.0,541800.0,1960.0,02132,42.2797554,-71.1626756
10 RUTLEDGE ST,R1,R1,2022,736600.0,646000.0,1960.0,02132,42.28266139999999,-71.1526123
10 PINE ST,R1,R1,2022,589300.0,535800.0,1990.0,02136,42.2534492,-71.1229534
10 NORTH AV,R1,R1,2022,415300.0,403100.0,1880.0,02119,42.3217753,-71.073084
10 MATHER ST,R1,R1,2022,926600.0,654900.0,1890.0,02124,42.29452209999999,-71.0628438
10 ALBANO ST,R1,R1,2022,995600.0,922000.0,2010.0,02131,42.2822175,-71.1299623
9 RUTLEDGE ST,R1,R1,2022,941600.0,855900.0,1900.0,02132,42.2830158,-71.1537405
